Name,Movie,Year,Cause of Death
Ewan McGregor,Haywire,2011,Blunt Objects
Ewan McGregor,Jack the Giant Slayer,2013,Supernatural
Ewan McGregor,Jane Got a Gun,2016,Firearms
Ewan McGregor,American Pastoral,2016,Ailment
Ewan McGregor,Beauty and the Beast,2017,Supernatural
Ewan McGregor,Christopher Robin,2018,Other
Ewan McGregor,Doctor Sleep,2019,Fire
Ewan McGregor,Birds of Prey,2020,Explosives
Ewan McGregor,Guillermo del Toros Pinocchio,2022,Ailment
Mark Margolis,Scarface,1983,Firearms
Mark Margolis,Delta Force 2: The Colombian Connection,1990,Explosives
Mark Margolis,Tales from the Darkside: The Movie,1990,Vehicular
Mark Margolis,The Pit and the Pendulum,1991,Cutting Instrument
Mark Margolis,Pi,1998,Ailment
Mark Margolis,The Fountain,2006,Blunt Objects
Mark Margolis,Gone Baby Gone,2007,Firearms
Mark Margolis,Immortals,2011,Fire
Mark Margolis,Noah,2014,Supernatural
Mark Margolis,The Abandoned,2015,Supernatural
Alan Tudyk,Serenity,2005,Cutting Instrument
Alan Tudyk,3:10 to Yuma,2007,Firearms
Alan Tudyk,Abraham Lincoln: Vampire Hunter,2012,Supernatural
Alan Tudyk,Tell,2014,Firearms
Alan Tudyk,Rogue One,2016,Firearms
Bruce Willis,Sunset,1988,Vehicular
Bruce Willis,Billy Bathgate,1991,Drowning
Bruce Willis,Mortal Thoughts,1991,Cutting Instrument
Bruce Willis,Death Becomes Her,1992,Ailment
Bruce Willis,Twelve Monkeys,1995,Firearms
Bruce Willis,The Jackal,1997,Firearms
Bruce Willis,Armageddon,1998,Explosives
Bruce Willis,The Sixth Sense,1999,Firearms
Bruce Willis,Hart’s War,2002,Firearms
Bruce Willis,Charlies Angels: Full Throttle,2003,Supernatural
Bruce Willis,Sin City,2005,Firearms
Bruce Willis,16 Blocks,2006,Firearms
Bruce Willis,Grindhouse,2007,Supernatural
Bruce Willis,Surrogates,2009,Other
Bruce Willis,Catch .44,2011,Firearms
Bruce Willis,Setup,2011,Firearms
Bruce Willis,The Cold Light of Day,2012,Firearms
Bruce Willis,Looper,2012,Firearms
Bruce Willis,The Prince,2014,Firearms
Bruce Willis,Extraction,2015,Firearms
Bruce Willis,Vice,2015,Firearms
Bruce Willis,Marauders,2016,Cutting Instrument
Bruce Willis,Precious Cargo,2016,Firearms
Bruce Willis,First Kill,2017,Firearms
Bruce Willis,Glass,2019,Drowning
Bruce Willis,Motherless Brooklyn,2019,Firearms
Bruce Willis,Breach,2020,Explosives
Bruce Willis,Deadlock,2021,Firearms
Bruce Willis,Gasoline Alley,2022,Firearms
Bruce Willis,Vendetta,2022,Firearms
Bruce Willis,White Elephant,2022,Animals
Bruce Willis,Wrong Place,2022,Firearms
Bruce Willis,Paradise City,2022,Firearms
Bruce Willis,Assassin,2023,Firearms
Matt Damon,Dogma,1999,Cutting Instrument
Matt Damon,The Majestic,2001,Other
Matt Damon,The Brothers Grimm,2005,Impact
Matt Damon,The Departed,2006,Firearms
Matt Damon,Elysium,2013,Firearms
Matt Damon,Interstellar,2014,Explosives
Matt Damon,Suburbicon,2017,Poison
Matt Damon,Thor: Ragnarok,2017,Cutting Instrument
Matt Damon,Ford v Ferrari,2019,Ailment
Matt Damon,The Last Duel,2021,Personal Weapons
Nick Offerman,Wristcutters: A Love Story,2006,Firearms
Nick Offerman,Casa De Mi Padre,2012,Firearms
