Name,Movie,Year,Cause of Death
Kazuki Namioka,Hell Girl,2019,Other
Kevin Anderson,Rising Sun,1993,Impact
Kevin Anderson,A Thousand Acres,1997,Vehicular
Tatjana Patitz,Rising Sun,1993,Strangulation
Spencer Breslin,The Happening,2008,Firearms
Spencer Breslin,Some Kind of Hate,2015,Blunt Objects
Jophery C. Brown,Foul Play,1978,Firearms
Jophery C. Brown,The Presidio,1988,Firearms
Jophery C. Brown,Cyborg,1989,Impact
Jophery C. Brown,Jurassic Park,1993,Other
Jophery C. Brown,Maniac Cop 3: Badge of Silence,1993,Firearms
Jophery C. Brown,The Relic,1997,Cutting Instrument
"Robert Bailey, Jr.",The Happening,2008,Firearms
Alison Folland,Before and After,1996,Vehicular
Alison Folland,The Happening,2008,Cutting Instrument
Eda Reiss Merin,Dont Tell Mom the Babysitters Dead,1991,Ailment
Frances de la Tour,The Book of Eli,2010,Explosives
Frances de la Tour,Into the Woods,2014,Supernatural
Frances de la Tour,Survivor,2015,Other
Joanna Riding,Into the Woods,2014,Supernatural
Simon Russell Beale,Into the Woods,2014,Supernatural
Simon Russell Beale,National Theatre Live: King Lear,2014,Ailment
Simon Russell Beale,The Death of Stalin,2017,Firearms
Simon Russell Beale,The Outfit,2022,Firearms
Joe D'Amato,Old Shatterhand,1964,Animals
Joe D'Amato,Porno Holocaust,1981,Supernatural
George Eastman,"Django, Prepare a Coffin",1968,Fire
George Eastman,Hate Thy Neighbor,1968,Firearms
George Eastman,OSS 117: Murder for Sale,1968,Impact
George Eastman,The Unholy Four,1970,Firearms
George Eastman,Rabid Dogs,1974,Animals
George Eastman,Emmanuelle’s Revenge,1975,Supernatural
George Eastman,Antropophagus,1980,Supernatural
George Eastman,Porno Holocaust,1981,Strangulation
George Eastman,Absurd,1981,Cutting Instrument
George Eastman,1990: The Bronx Warriors,1982,Cutting Instrument
George Eastman,2019: After the Fall of New York,1983,Impact
George Eastman,Ironmaster,1983,Cutting Instrument
George Eastman,King David,1985,Blunt Objects
George Eastman,Hands of Steel,1986,Impact
Dirce Funari,Sexy Erotic Love,1980,Narcotics
Dirce Funari,Porno Holocaust,1981,Supernatural
Annj Goren,Exotic Malice,1980,Supernatural
Annj Goren,Sexy Erotic Love,1980,Narcotics
Annj Goren,Porno Holocaust,1981,Supernatural
Richard Wiley,Rage of Honor,1987,Vehicular
Meiko Kaji,Retaliation,1968,Firearms
Meiko Kaji,Stray Cat: Delinquent Girl Boss,1970,Firearms
Meiko Kaji,Stray Cat: Wild Jumbo,1970,Blunt Objects
Meiko Kaji,Stray Cat: Beat  71,1971,Firearms
Meiko Kaji,Blue Jeans - No Future,1974,Firearms
Meiko Kaji,Double Suicide of Sonezaki,1978,Cutting Instrument
Jôtarô Togami,Retaliation,1968,Cutting Instrument
Tamio Kawaji,Detective Bureau 2-3: Go to Hell Bastards,1963,Firearms
Tamio Kawaji,Cruel Gun Story,1964,Firearms
Tamio Kawaji,The Flower and the Angry Waves,1964,Drowning
Tamio Kawaji,Story of a Prostitute,1965,Explosives
Tamio Kawaji,Tokyo Drifter,1966,Animals
Tamio Kawaji,Black Dagger,1968,Cutting Instrument
Tamio Kawaji,Gangster VIP,1968,Cutting Instrument
Tamio Kawaji,Savage Wolf Pack,1969,Animals
Tamio Kawaji,Battles Without Honor and Humanity The Yakuza Papers,1973,Firearms
Tamio Kawaji,Shinjukus Number One Drunk-Killer Tetsu,1977,Firearms
Tamio Kawaji,Heat Wave,1991,Weather
Gorô Ibuki,Fort of Death,1969,Cutting Instrument
Gorô Ibuki,Withered Tree,1972,Impact
Gorô Ibuki,Battles Without Honor and Humanity The Yakuza Papers,1973,Firearms
Gorô Ibuki,The Rapacious Jail Breaker,1974,Cutting Instrument
Shin'ichirô Mikami,Big Time Gambling Boss,1968,Cutting Instrument
Shin'ichirô Mikami,Battles Without Honor and Humanity The Yakuza Papers,1973,Cutting Instrument
Shin'ichirô Mikami,G.I. Samurai,1979,Other
Lewis Van Bergen,Savage Dawn,1985,Vehicular
Lewis Van Bergen,Rage of Honor,1987,Cutting Instrument
Lewis Van Bergen,Pinocchios Revenge,1996,Other
Lewis Van Bergen,The Relic,1997,Supernatural
Eiji Gô,The Warped Ones,1960,Cutting Instrument
Eiji Gô,Danger Pays,1962,Firearms
Eiji Gô,Youth of the Beast,1963,Supernatural
Eiji Gô,Murder Unincorporated,1965,Firearms
Eiji Gô,Black Tight Killers,1966,Firearms
Eiji Gô,Tokyo Drifter,1966,Firearms
Eiji Gô,Black Dagger,1968,Cutting Instrument
Eiji Gô,Gangster VIP 2,1968,Cutting Instrument
Eiji Gô,Heartless,1968,Cutting Instrument
Eiji Gô,Retaliation,1968,Cutting Instrument
Eiji Gô,Kill!,1969,Cutting Instrument
Eiji Gô,Haunted Samurai,1970,Supernatural
Eiji Gô,Stray Cat: Beat  71,1971,Explosives
Eiji Gô,The Bodyguard,1973,Personal Weapons
Eiji Gô,The Bodyguard 2,1973,Personal Weapons
Eiji Gô,Private Ginza Police,1973,Firearms
Eiji Gô,The Yakuza,1974,Animals
Eiji Gô,Zero Woman: Red Handcuffs,1974,Strangulation
Eiji Gô,The Great Jailbreak,1975,Weather
Eiji Gô,Karate Warriors,1976,Personal Weapons
Eiji Gô,New Battles Without Honor 3: Bosss Last Days,1976,Firearms
Seijun Suzuki,Sleepless Town,1998,Firearms
Perm Hongsakul,"No Retreat, No Surrender 2: Raging Thunder",1987,Weather
Bumchai Im-arunrak,"No Retreat, No Surrender 2: Raging Thunder",1987,Weather
Kaku Takashina,Underworld Beauty,1958,Firearms
Kaku Takashina,Murder Unincorporated,1965,Firearms
Kaku Takashina,Massacre Gun,1967,Firearms
Kaku Takashina,Black Dagger,1968,Cutting Instrument
Kaku Takashina,Retaliation,1968,Cutting Instrument
Kaku Takashina,The Vampire Doll,1970,Supernatural
Kaku Takashina,Lake of Dracula,1971,Drowning
Loren Farmer,Avenging Force,1986,Firearms
Allen Beatson,Nine Deaths of the Ninja,1985,Impact
Blackie Dammett,Nine Deaths of the Ninja,1985,Impact
Karl Johnson (II),Avenging Force,1986,Firearms
Karl Johnson (II),Jake Speed,1986,Narcotics
Michael Depasquale Jr.,The King of the Kickboxers,1990,Personal Weapons
Keye Luke,Noon Sunday,1975,Explosives
Keye Luke,Dead Heat,1988,Firearms
Keye Luke,Gremlins 2: The New Batch,1990,Ailment
Chin Ku Ma,"No Retreat, No Surrender 2: Raging Thunder",1987,Weather
Jeong-lee Hwang,Drunken Master,1978,Impact
Jeong-lee Hwang,Snake in the Eagles Shadow,1978,Animals
Jeong-lee Hwang,Game of Death II,1981,Cutting Instrument
Jeong-lee Hwang,Kid from Kwang Tung,1982,Other
Jeong-lee Hwang,The Magnificient Warriors,1987,Fire
Jeong-lee Hwang,"No Retreat, No Surrender 2: Raging Thunder",1987,Weather
Jeong-lee Hwang,Street Soldiers,1991,Impact
Tai Chung Kim,"No Retreat, No Surrender",1986,Supernatural
William Wallace,The Delta Force,1986,Firearms
William Wallace,Avenging Force,1986,Cutting Instrument
William Wallace,King Kong,2005,Impact
Shane Kosugi,Revenge of the Ninja,1983,Cutting Instrument
Kane Kosugi,Godzilla: Final Wars,2004,Other
Kane Kosugi,War,2007,Blunt Objects
Kane Kosugi,Ninja: Shadow of a Tear,2013,Cutting Instrument
Kane Kosugi,Terra Formars,2016,Cutting Instrument
Kane Kosugi,One Night in Bangkok,2020,Firearms
David Nelson,The Big Circus,1959,Impact
Sonny Erang,Nine Deaths of the Ninja,1985,Explosives
David Chung,Ninja III: The Domination,1984,Firearms
David Chung,Missing in Action 2: The Beginning,1985,Cutting Instrument
Keith Vitali,Revenge of the Ninja,1983,Cutting Instrument
Wright King,Beneath the Planet of the Apes,1970,Explosives
Arthur Roberts,Revenge of the Ninja,1983,Cutting Instrument
John LaMotta,Revenge of the Ninja,1983,Personal Weapons
John LaMotta,Ninja III: The Domination,1984,Cutting Instrument
John LaMotta,American Ninja,1985,Explosives
Arlen Dean Snyder,Deadly Force,1983,Vehicular
Arlen Dean Snyder,No Mans Land,1987,Vehicular
Laurence Naismith,Robbery Under Arms,1957,Firearms
Laurence Naismith,A Night to Remember,1958,Impact
Laurence Naismith,The Singer Not The Song,1961,Firearms
Laurence Naismith,The Valley Of Gwangi,1969,Impact
Laurence Naismith,Scrooge,1970,Ailment
Irina Malysheva,Termination Man,2000,Firearms
Georgina Haig,Road Kill,2010,Impact
Georgina Haig,Late Night with the Devil,2023,Supernatural
Bob Morley,Road Train,2010,Firearms
David Argue,Gallipoli,1981,Drowning
David Argue,Razorback,1984,Animals
David Argue,Road Train,2010,Firearms
David Bruce,The Mad Ghoul,1943,Supernatural
Stacey Dash,Gang of Roses,2003,Firearms
Cynda Williams,One False Move,1992,Firearms
Cynda Williams,Condition Red,1995,Firearms
Cynda Williams,Caught Up,1998,Cutting Instrument
Steve Bacic,The 6th Day,2000,Supernatural
Steve Bacic,Odysseus and the Isle of the Mists,2008,Weather
Steve Bacic,Tactical Force,2011,Firearms
Steve Bacic,A Haunting in Silver Falls,2013,Impact
Steve Bacic,Killing Gunther,2017,Firearms
Claudia Islas,Con licencia para matar,1968,Firearms
Chris Carmack,Deadly Honeymoon,2010,Drowning
Chris Carmack,Shark Night,2011,Animals
Massimo Troisi,Il Postino: The Postman,1994,Other
Heath Herring,Never Surrender,2009,Blunt Objects
Robert Wall,Return of the Dragon,1972,Supernatural
Robert Wall,Enter the Dragon,1973,Supernatural
Robert Wall,Game of Death,1978,Personal Weapons
Robert Wall,"Walker, Texas Ranger",2000,Supernatural
Justin Theroux,Charlies Angels: Full Throttle,2003,Supernatural
Justin Theroux,Inland Empire,2006,Cutting Instrument
Justin Theroux,Your Highness,2011,Cutting Instrument
Justin Theroux,The Girl on the Train,2016,Cutting Instrument
Justin Theroux,Mute,2018,Drowning
Justin Theroux,Bumblebee,2018,Impact
Justin Theroux,Beetlejuice Beetlejuice,2024,Other
Cheng-Wu Yang,Game of Death II,1981,Personal Weapons
To Wai-Woo,Game of Death II,1981,Personal Weapons
Roy Horan,Snake in the Eagles Shadow,1978,Animals
Roy Horan,Game of Death II,1981,Strangulation
Andrew Lee Potts,Return to House on Haunted Hill,2007,Drowning
Andrew Lee Potts,Freakdog,2008,Weather
Slobodan Dimitrijevic,Treasure of the Silver Lake,1962,Drowning
Slobodan Dimitrijevic,Out of Control,1985,Firearms
Slobodan Dimitrijevic,Gymkata,1985,Firearms
Zlatko Pokupec,Gymkata,1985,Firearms
Stefan Nelet,Kiss of the Dragon,2001,Supernatural
Norma Atallah,Mortdecai,2015,Firearms
Paul Whitehouse,Tim Burtons Corpse Bride,2005,Vehicular
Paul Whitehouse,Mortdecai,2015,Firearms
Paul Whitehouse,Alice Through the Looking Glass,2016,Other
Janet McTeer,Cat Run,2011,Explosives
Janet McTeer,The Menu,2022,Fire
John Wood,Gorgo,1961,Other
John Wood,Ladyhawke,1985,Cutting Instrument
John Wood,Orlando,1992,Ailment
John Wood,Uncovered,1994,Firearms
John Wood,Richard III,1995,Ailment
John Wood,The Little Vampire,2000,Supernatural
Kenji Imai,Kill!,1969,Cutting Instrument
Kenji Imai,Quick-draw Okatsu,1969,Cutting Instrument
Kenji Imai,"Watch Out, Crimson Bat!",1969,Blunt Objects
Kenji Imai,Sympathy for the Underdog,1971,Animals
Kenji Imai,Eight Men to Kill,1972,Firearms
Kenji Imai,Outlaw Killers: Three Mad Dog Brothers,1972,Animals
Kenji Imai,The Last Samurai,1974,Cutting Instrument
Kenji Imai,The Tattooed Hit Man,1974,Firearms
Kenji Imai,Karate Bullfighter,1975,Personal Weapons
Kenji Imai,Japans Don: Great Yakuza War,1977,Firearms
Kenji Imai,The Killing Game,1978,Firearms
Kenji Imai,Machine Gun Dragon,1978,Firearms
Kenji Imai,The Resurrection of the Golden Wolf,1979,Animals
Etsushi Takahashi,Red Lion,1969,Animals
Etsushi Takahashi,Battle for Okinawa,1971,Firearms
Etsushi Takahashi,Zatoichi at Large,1972,Blunt Objects
Etsushi Takahashi,Hanzo the Razor: Whos Got the Gold?,1974,Cutting Instrument
Etsushi Takahashi,The Godfather: Resolution,1978,Firearms
Tokue Hanazawa,Red Lion,1969,Animals
Tokue Hanazawa,Zatoichi Meets the One Armed Swordsman,1971,Cutting Instrument
Tokue Hanazawa,Trail of Blood,1972,Cutting Instrument
Yûnosuke Itô,I Will Buy You,1956,Ailment
Yûnosuke Itô,Shinobi No Mono,1962,Other
Yûnosuke Itô,Fort Graveyard,1965,Firearms
Yûnosuke Itô,Samurai Assassin,1965,Cutting Instrument
Yûnosuke Itô,Shinobi No Mono 8,1966,Cutting Instrument
Yûnosuke Itô,Red Lion,1969,Animals
Yûnosuke Itô,The Man Who Stole the Sun,1979,Vehicular
Shin Kishida,Kill!,1968,Firearms
Shin Kishida,Red Lion,1969,Animals
Shin Kishida,Zatoichi Meets Yojimbo,1970,Cutting Instrument
Shin Kishida,Lake of Dracula,1971,Drowning
Shin Kishida,Battle for Okinawa,1971,Poison
Shin Kishida,Lone Wolf and Cub: Baby Cart at the River Styx,1972,Animals
Shin Kishida,Lone Wolf and Cub: Baby Cart in Peril,1972,Animals
Shin Kishida,Demon Spies,1974,Supernatural
Shin Kishida,Evil of Dracula,1974,Cutting Instrument
Shin Kishida,Lady Snowblood 2: Love Song of Vengeance,1974,Cutting Instrument
Shin Kishida,G.I. Samurai,1979,Cutting Instrument
Shin Kishida,The Resurrection of the Golden Wolf,1979,Animals
Arabella Morton,San Andreas,2015,Other
Brad McMurray,Godzilla: Final Wars,2004,Other
Brad McMurray,San Andreas,2015,Impact
Brad McMurray,Godzilla vs. Kong,2021,Impact
Didier Azoulay,Kiss of the Dragon,2001,Supernatural
A. Russell Andrews,The Punisher,2004,Cutting Instrument
Ulrike Krumbiegel,Downfall,2004,Firearms
Karl Kranzkowski,Downfall,2004,Firearms
Gerald Alexander Held,Downfall,2004,Poison
Gerald Alexander Held,"Afrika, mon amour",2007,Drowning
Gerald Alexander Held,The Baader Meinhof Complex,2008,Vehicular
Fabian Busch,Downfall,2004,Firearms
Amanda Righetti,Angel Blade,2002,Supernatural
Amanda Righetti,Friday the 13th,2009,Drowning
Olivia Hussey,Romeo and Juliet,1968,Cutting Instrument
Olivia Hussey,Lost Horizon,1973,Other
Olivia Hussey,Black Christmas,1974,Cutting Instrument
Olivia Hussey,The Man with Bogarts Face,1980,Personal Weapons
Olivia Hussey,Undeclared War,1990,Strangulation
Leonard Whiting,Romeo and Juliet,1968,Poison
James Mathers,Flight 7500,2014,Supernatural
Karen Allen,Starman,1984,Firearms
Karen Allen,Backfire,1987,Explosives
Karen Allen,Falling Sky,1998,Impact
Martha Plimpton,Silence Like Glass,1989,Narcotics
Martha Plimpton,Eye of God,1997,Cutting Instrument
Martha Plimpton,Remember Me,2010,Firearms
Jon Pertwee,Carry on Cowboy,1965,Firearms
Jon Pertwee,Carry on Screaming!,1966,Supernatural
Jon Pertwee,The House That Dripped Blood,1971,Supernatural
Michael McGrady,Half Past Dead,2002,Firearms
John Forgeham,Sheena,1984,Cutting Instrument
John Forgeham,Kiss of the Dragon,2001,Supernatural
Paul Barrett,Kiss of the Dragon,2001,Supernatural
Yoshino Kimura,Sukiyaki Western Django,2007,Firearms
Kaori Momoi,Did The Red Bird Escape?,1973,Firearms
Kaori Momoi,Sukiyaki Western Django,2007,Firearms
Yutaka Matsushige,The Guard from the Underground,1992,Strangulation
Yutaka Matsushige,Rasen,1998,Other
Yutaka Matsushige,Charisma,1999,Firearms
Yutaka Matsushige,The Princess Blade,2001,Cutting Instrument
Yutaka Matsushige,Dragon Head,2003,Supernatural
Yutaka Matsushige,Last Life in the Universe,2003,Firearms
Yutaka Matsushige,Sukiyaki Western Django,2007,Firearms
Takaaki Ishibashi,Sukiyaki Western Django,2007,Cutting Instrument
Masato Sakai,Sukiyaki Western Django,2007,Firearms
Toshiaki Karasawa,High School Teacher,1993,Other
Toshiaki Karasawa,CasshernCasshern,2004,Explosives
Toshiaki Karasawa,Oba: The Last Samurai,2011,Firearms
Mayumi Sada,Casshern,2004,Cutting Instrument
Tony Pierce,Near Dark,1987,Vehicular
Tony Pierce,Dances with Wolves,1990,Animals
Tony Pierce,Diagnosis: Murder,1996,Firearms
Tony Pierce,Ray Donovan,2013,Cutting Instrument
Kyôsuke Yabe,Dead or Alive,1999,Firearms
Kyôsuke Yabe,Sukiyaki Western Django,2007,Cutting Instrument
Kyôsuke Yabe,Tajomaru,2009,Cutting Instrument
Kin'ya Kitaôji,Wolves Pigs and Men,1964,Animals
Kin'ya Kitaôji,Shinsengumi,1969,Firearms
Kin'ya Kitaôji,Battle Without Honor and Humanity: The Yakuza Papers: Deadly Fight in Hiroshima,1973,Personal Weapons
Kin'ya Kitaôji,Father of the Kamikaze,1974,Vehicular
Kin'ya Kitaôji,Mount Hakkoda,1977,Weather
Kin'ya Kitaôji,The Second Is a Christian,1985,Cutting Instrument
Kin'ya Kitaôji,Lone Wolf and Cub: Season 3 Episode 10,2004,Animals
Akira Ishihama,The Human Condition I: No Greater Love,1959,Other
Akira Ishihama,Harakiri,1962,Cutting Instrument
Taiji Tonoyama,The Kanto Wanderer,1963,Firearms
Taiji Tonoyama,Japanese Summer: Double Suicide,1967,Firearms
Taiji Tonoyama,Did The Red Bird Escape?,1973,Firearms
Taiji Tonoyama,Sex and Fury,1973,Cutting Instrument
Taiji Tonoyama,Vengeance Is Mine,1979,Explosives
Sô Yamamura,Women Are Born Twice,1961,Ailment
Sô Yamamura,The Inheritance,1962,Ailment
Sô Yamamura,Shinobi No Mono 2: Vengeance,1963,Cutting Instrument
Sô Yamamura,Lone Wolf and Cub: Baby Cart in Peril,1972,Animals
Toshio Kurosawa,Japans Longest Day,1967,Firearms
Toshio Kurosawa,City of Beasts,1970,Supernatural
Toshio Kurosawa,The Wolves,1971,Animals
Toshio Kurosawa,The Water Margin,1972,Drowning
Toshio Kurosawa,Hanzo the Razor: The Snare,1973,Cutting Instrument
Toshio Kurosawa,Lady Snowblood,1973,Cutting Instrument
Toshio Kurosawa,Father of the Kamikaze,1974,Vehicular
George O'Brien,December 7th: The Movie,1943,Other
George O'Brien,Fort Apache,1948,Other
George O'Brien,Cheyenne Autumn,1964,Firearms
Mickey Hargitay,Bloody Pit of Horror,1965,Supernatural
Mickey Hargitay,Delirium,1972,Personal Weapons
Mickey Hargitay,The Reincarnation of Isabel,1973,Fire
Pedro Armendáriz,Fort Apache,1948,Firearms
Pedro Armendáriz,3 Godfathers,1948,Firearms
Pedro Armendáriz,Border River,1954,Drowning
Pedro Armendáriz,Diane,1956,Other
Pedro Armendáriz,The Conqueror,1956,Other
Pedro Armendáriz,Little Savage,1959,Firearms
Pedro Armendáriz,The Soldiers of Pancho Villa,1959,Firearms
Pedro Armendáriz,The Wonderful Country,1959,Ailment
Pedro Armendáriz,"My Son, the Hero",1962,Weather
Pedro Armendáriz,Captain Sindbad,1963,Other
Pedro Armendáriz,From Russia with Love,1963,Cutting Instrument
Mia Farrow,Secret Ceremony,1968,Narcotics
Mia Farrow,The Haunting of Julia,1977,Cutting Instrument
Mia Farrow,Death on the Nile,1978,Firearms
Mia Farrow,The Omen,2006,Vehicular
Kat Castaneda,Knock Knock,2007,Blunt Objects
Chris Addison,The Look of Love,2013,Firearms
Rokkô Toura,The Revolutionary,1962,Cutting Instrument
Rokkô Toura,Gang Life,1963,Firearms
Rokkô Toura,Samurai Spy,1965,Cutting Instrument
Rokkô Toura,Zatoichi and the Chess Experts,1965,Cutting Instrument
Rokkô Toura,Japanese Summer: Double Suicide,1967,Firearms
Rokkô Toura,"Watch Out, Crimson Bat!",1969,Blunt Objects
Rokkô Toura,Stray Cat: Beat  71,1971,Firearms
Rokkô Toura,The Bodyguard 2,1973,Cutting Instrument
Rokkô Toura,Lone Wolf and Cub: Baby Cart In the Land of Demons,1973,Animals
Rokkô Toura,The Shogun Assassins,1979,Firearms
Blythe Auffarth,The Girl Next Door,2007,Other
Tom Nowicki,The Punisher,2004,Firearms
Burt Kwouk,The Inn of the Sixth Happiness,1958,Firearms
Burt Kwouk,The Terror of the Tongs,1961,Supernatural
Burt Kwouk,Goldfinger,1964,Firearms
Burt Kwouk,The Brides of Fu Manchu,1966,Firearms
Burt Kwouk,You Only Live Twice,1967,Explosives
Burt Kwouk,Castle of Fu Manchu,1969,Other
Burt Kwouk,Kiss of the Dragon,2001,Supernatural
Burt Kwouk,Wake of Death,2004,Firearms
Ryan Robbins,Aliens vs Predator: Requiem,2007,Supernatural
Ryan Robbins,Black Widow Killer,2020,Animals
Ryan Robbins,Wrecked,2010,Vehicular
Louis Calhern,Frisco Jenny,1932,Firearms
Louis Calhern,Diplomaniacs,1933,Explosives
Louis Calhern,The Woman Accused,1933,Blunt Objects
Louis Calhern,The Man with Two Faces,1934,Poison
Louis Calhern,The Arizonian,1935,Firearms
Louis Calhern,The Last Days of Pompeii,1935,Impact
Louis Calhern,Heaven Can Wait,1943,Vehicular
Louis Calhern,The Asphalt Jungle,1950,Firearms
Louis Calhern,Devils Doorway,1950,Supernatural
Louis Calhern,The Man With a Cloak,1951,Ailment
Louis Calhern,Julius Caesar,1953,Cutting Instrument
Louis Calhern,The Prodigal,1955,Cutting Instrument
Willie Best,The Arizonian,1935,Firearms
Willie Best,The Green Pastures,1936,Supernatural
Rosalind Lloyd,Inseminoid,1981,Cutting Instrument
Bryan Marshall,Rasputin: The Mad Monk,1966,Other
Bryan Marshall,The Spy Who Loved Me,1977,Explosives
Bryan Marshall,The Long Good Friday,1980,Firearms
Bryan Marshall,The Punisher,1989,Cutting Instrument
Miguel Ángel Fuentes,The Bermuda Triangle,1978,Supernatural
Miguel Ángel Fuentes,The Evil That Men Do,1984,Impact
Zoshka Mizak,The Punisher,1989,Personal Weapons
Kenji Yamaki,The Punisher,1989,Personal Weapons
Hirofumi Kanayama,The Punisher,1989,Cutting Instrument
Lani John Tupu,The Punisher,1989,Poison
May Lloyd,The Punisher,1989,Explosives
Bob Schott,Force: Five,1981,Personal Weapons
Bob Schott,Gymkata,1985,Cutting Instrument
Bob Schott,In the Line of Fire,1993,Firearms
Brooke Anderson,The Punisher,1989,Vehicular
Holly Rogers,The Punisher,1989,Vehicular
Todd Boyce,The Punisher,1989,Poison
Todd Boyce,The Kings Man,2021,Vehicular
Lois Larimore,The Punisher,1989,Firearms
Tom Coltraine,The Punisher,1989,Firearms
Linda Smith,Punisher: War Zone,2008,Firearms
Bonnie Johnson,The Punisher,2004,Firearms
Lynne De Bel,The Day After Tomorrow,2004,Cutting Instrument
Lynne De Bel,Punisher: War Zone,2008,Firearms
Annie Carignan,Punisher: War Zone,2008,Cutting Instrument
Raad Rawi,Traitor,2008,Firearms
Raad Rawi,Conan the Barbarian,2011,Blunt Objects
Raad Rawi,Spy,2015,Firearms
Johnny Raaen,The Punisher,1989,Impact
Morena Baccarin,Spy,2015,Firearms
Morena Baccarin,Deadpool 2,2018,Firearms
Morena Baccarin,Greenland,2020,Other
John Dunn-Hill,Punisher: War Zone,2008,Cutting Instrument
Julian Miller,Spy,2015,Cutting Instrument
Nargis Fakhri,Spy,2015,Cutting Instrument
Mitch Silpa,Spy,2015,Firearms
Zach Woods,Spy,2015,Poison
Björn Gustafsson,Kung Fury,2015,Blunt Objects
Björn Gustafsson,Spy,2015,Firearms
Hank Stone,Street Knight,1993,Firearms
Hank Stone,Cold Mountain,2003,Impact
Hank Stone,The Punisher,2004,Cutting Instrument
Conan Lee,Gymkata,1985,Strangulation
Conan Lee,Fury in Red,1991,Vehicular
Conan Lee,New York  Undercover Cop,1993,Firearms
Conan Lee,Lethal Weapon 4,1998,Firearms
John Barrett,Gymkata,1985,Cutting Instrument
John Barrett,Silent Rage,1982,Blunt Objects
Richard Gaines,Strange Bargain,1949,Firearms
Ross O'Hennessy,Backdraft II,2019,Fire
Jeffrey Kramer,Clue,1985,Blunt Objects
Kellye Nakahara,Clue,1985,Cutting Instrument
Enzo Cilenti,Guardians of the Galaxy,2014,Other
Enzo Cilenti,Free Fire,2016,Firearms
Enzo Cilenti,Heart of Stone,2023,Blunt Objects
Bill Henderson,Clue,1985,Blunt Objects
Bill Henderson,Murphys Law,1986,Firearms
Kevin Keenan,Game of Thrones,2011,Animals
Matthew Scurfield,Raiders of the Lost Ark,1981,Firearms
Christopher Newman,Game of Thrones,2013,Ailment
Lee Ving,Nightmares,1983,Firearms
Lee Ving,Clue,1985,Other
Lee Ving,Dudes,1987,Firearms
Lee Ving,The Taking of Beverly Hills,1991,Explosives
Oddie Braddell,Game of Thrones,2013,Cutting Instrument
Michael Liebmann,The Killing Gene,2007,Strangulation
Andy Moore,Game of Thrones,2014,Impact
Shi-Kwan Yen,The One-Armed Swordsman,1967,Other
Shi-Kwan Yen,The Flying Dagger,1969,Cutting Instrument
Shi-Kwan Yen,The Invincible Fist,1969,Cutting Instrument
Shi-Kwan Yen,Return of the One-Armed Swordsman,1969,Cutting Instrument
Shi-Kwan Yen,The Singing Thief,1969,Personal Weapons
Shi-Kwan Yen,The Singing Killer,1970,Firearms
Shi-Kwan Yen,Four Riders,1972,Other
Shi-Kwan Yen,The Savage Five,1974,Cutting Instrument
Shi-Kwan Yen,All Men Are Brothers,1975,Cutting Instrument
Shi-Kwan Yen,Iron Fisted Monk,1977,Cutting Instrument
Shi-Kwan Yen,The Shaolin Plot,1977,Cutting Instrument
Shi-Kwan Yen,The Fearless Hyena,1979,Animals
Shi-Kwan Yen,Kid from Kwang Tung,1982,Personal Weapons
Shi-Kwan Yen,The Fearless Hyena 2,1983,Animals
Shi-Kwan Yen,Taoism Drunkard,1984,Supernatural
Shi-Kwan Yen,Once Upon a Time in China,1991,Firearms
Shi-Kwan Yen,Royal Tramp II,1993,Personal Weapons
Shi-Kwan Yen,The Heroic Trio,1993,Blunt Objects
Shi-Kwan Yen,Iron Monkey,1993,Strangulation
Shi-Kwan Yen,A Hero Never Dies,1998,Strangulation
Jack Roth,Rogue One,2016,Other
Jack Roth,Till Death,2021,Impact
Shane Brolly,Underworld: Evolution,2006,Cutting Instrument
Shane Brolly,Book of Fire,2015,Firearms
Philip Chan,Flaming Brothers,1987,Fire
Philip Chan,Hero of Tomorrow,1988,Firearms
Philip Chan,Widow Warriors,1990,Firearms
Philip Chan,Double Impact,1991,Impact
Andrei Arlovski,Universal Soldier: Regeneration,2009,Explosives
Andrei Arlovski,Universal Soldier: Day of Reckoning,2012,Blunt Objects
Stockard Channing,Echoes in the Darkness,1987,Narcotics
Stockard Channing,Perfect Witness,1989,Firearms
Stockard Channing,The First Wives Club,1996,Blunt Objects
Stockard Channing,Moll Flanders,1996,Drowning
Stockard Channing,Where the Heart Is,2000,Weather
Yasmine Bleeth,The Force,1994,Firearms
Jayne County,Jubilee,1978,Strangulation
Victor Romero Evans,Marked for Death,1990,Impact
Elena Sahagun,Marked for Death,1990,Firearms
Elena Sahagun,Naked Obsession,1991,Firearms
Elena Sahagun,Uncaged,1991,Personal Weapons
Rita Verreos,Marked for Death,1990,Cutting Instrument
Peter Horton,Shes Dressed to Kill,1979,Other
Peter Horton,2 Days in the Valley,1996,Firearms
Richard Delmonte,Marked for Death,1990,Firearms
Afifi Alaouie,Under Siege 2: Dark Territory,1995,Impact
Joe Spataro,Out for Justice,1991,Firearms
Jorge Gil,Masterblaster,1987,Animals
Jorge Gil,Out for Justice,1991,Firearms
Jorge Gil,Miami Vice,1985,Firearms
Frances Barber,A Zed & Two Noughts,1985,Animals
Frances Barber,Secret Friends,1991,Strangulation
Frances Barber,Red Siren,2002,Supernatural
Frances Barber,Warrior Queen,2003,Poison
Gina Bellman,Secret Friends,1991,Other
Gina Bellman,Subterrain,2001,Supernatural
Rowena Cooper,Secret Friends,1991,Other
